Layers,1.B,1.B,1.B,1.C,1.C,1.C,1.B,1.B,1.B,1.C,1.C,1.C
Crust,Biocrust,Biocrust,Biocrust,Control,Control,Control,Biocrust,Biocrust,Biocrust,Control,Control,Control
SampleID,S.11A,S.31A,S.51A,S.12A,S.32A,S.52A,S.21A,S.41A,S.61A,S.22A,S.42A,S.62A
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|Candidatus Solibacter,0,0,0,0,58,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|PAUC26f,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3|Paludibaculumub,0,0,0,66,62,71,0,0,0,42,65,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales|Solibacteraceae Subgroup 3,0,0,0,0,3,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 11,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 12ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 13ub Acidobacteria bacteriumub Acidobacteria bacteriumub Acidobacteria bacteriumub Acidobacteria bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 13ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 13,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 15ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 17,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 18ubububub,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 22AmtAmtAmtAmt,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 22ub Acidobacteriales bacteriumub Acidobacteriales bacteriumub Acidobacteriales bacteriumub Acidobacteriales bacterium,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Acidobacteria|Subgroup 22,0,0,0,0,0,0,0,0,0,0,0,0
